"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-05-28","95.1","-2.7100","5.2865","Trea Turner",607208,612434,"walk","blocked_ball",,,,,"14","Trea Turner walks.  ","R","R","R","BAL","WSH","B","null","null",3,2,2018,"-1.2755","0.8089","0.8963","0.5379","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194619","12.2051","-137.6997","-8.4842","-18.8333","30.5364","-20.2884","3.4544","1.4592","null","null","null","94.4410","2338","6.1770",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"54.3231","null","null","0.70",1,0,0,"null",67,"6","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FT","2018-05-28","93.5","-2.7608","5.5016","Trea Turner",607208,612434,"null","swinging_strike",,,,,"8","null","R","R","R","BAL","WSH","S","null","null",3,1,2018,"-1.2355","0.9075","0.2730","1.6041","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194603","10.4673","-135.6004","-6.2078","-17.4546","30.0457","-19.9073","3.3480","1.4592","null","null","null","92.9600","2375","6.1860",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"54.3148","null","null","null","null","null","null","null",67,"5","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FT","2018-05-28","94.2","-2.7050","5.3369","Trea Turner",607208,612434,"null","called_strike",,,,,"9","null","R","R","R","BAL","WSH","S","null","null",3,0,2018,"-1.4219","0.9439","0.5836","1.7133","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194549","11.7345","-136.5795","-5.7641","-20.5360","30.9976","-19.2120","3.5976","1.4760","null","null","null","94.1850","2313","6.5500",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"53.9503","null","null","null","null","null","null","null",67,"4","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FT","2018-05-28","94.4","-2.7591","5.4493","Trea Turner",607208,612434,"null","ball",,,,,"14","null","R","R","R","BAL","WSH","B","null","null",2,0,2018,"-1.2999","0.8106","1.0132","1.5146","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194535","12.6141","-136.7909","-6.2423","-19.0462","30.8819","-20.8919","3.5126","1.4592","null","null","null","93.7510","2428","6.1940",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"54.3063","null","null","null","null","null","null","null",67,"3","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FT","2018-05-28","96.4","-2.5596","5.3527","Trea Turner",607208,612434,"null","ball",,,,,"14","null","R","R","R","BAL","WSH","B","null","null",1,0,2018,"-1.3819","0.7899","1.5418","1.7655","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194519","14.1039","-139.6809","-5.7052","-21.5403","33.2411","-20.6342","3.3961","1.4592","null","null","null","96.3640","2376","6.6330",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"53.8679","null","null","null","null","null","null","null",67,"2","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FT","2018-05-28","97.7","-2.5670","5.5049","Trea Turner",607208,612434,"null","ball",,,,,"14","null","R","R","R","BAL","WSH","B","null","null",0,0,2018,"-1.4463","0.6951","1.8235","1.5250","null","null","null",0,9,"Top","null","null",,,572180,,"180528_194502","15.2447","-141.4692","-6.7974","-23.1620","32.6820","-21.3628","3.4544","1.4592","null","null","null","97.9140","2403","6.7100",530213,612434,572180,641820,570731,502143,592518,502226,430945,572073,"53.7901","null","null","null","null","null","null","null",67,"1","2-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard"
"FF","2018-05-28","91.1","-1.5591","6.0266","Trea Turner",607208,502171,"field_out","hit_into_play",,,,,"3","Trea Turner grounds out, second baseman Jonathan Schoop to first baseman Trey Mancini.  ","R","R","R","BAL","WSH","X",4,"ground_ball",2,2,2018,"-1.3423","1.1314","0.6053","2.9508","572191.00","null","null",2,7,"Top","148.93","149.17",,,572180,,"180528_190218","8.1032","-132.2895","-4.0933","-17.0745","28.6952","-18.6357","3.3478","1.4590","27","103.6","-4.6230","89.6700","2132","5.5640",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"54.9368","0.365","0.355","0.00",1,0,0,2,50,"5","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2018-05-28","91.9","-1.6015","6.0579","Trea Turner",607208,502171,"null","foul",,,,,"6","null","R","R","R","BAL","WSH","S","null","null",2,1,2018,"-1.0553","1.2815","0.3313","2.4454","572191.00","null","null",2,7,"Top","null","null",,,572180,,"180528_190141","6.9409","-133.3447","-5.8399","-13.6165","27.8197","-16.4392","3.3478","1.4590","null","null","null","90.1390","2081","5.3060",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.1945","null","null","null","null","null","null","null",50,"4","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"KC","2018-05-28","81.4","-1.5892","6.0094","Trea Turner",607208,502171,"null","ball",,,,,"11","null","R","R","R","BAL","WSH","B","null","null",1,1,2018,"0.5384","-1.1620","-0.8981","4.2101","572191.00","null","null",2,7,"Top","null","null",,,572180,,"180528_190120","0.5650","-118.1185","4.5126","4.6246","23.0385","-43.5860","3.4793","1.6006","null","null","null","78.6540","2519","4.5740",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.9263","null","null","null","null","null","null","null",50,"3","Knuckle Curve",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2018-05-28","92.5","-1.5801","6.0824","Trea Turner",607208,502171,"null","called_strike",,,,,"3","null","R","R","R","BAL","WSH","S","null","null",1,0,2018,"-1.0264","1.3057","0.5377","3.2822","572191.00","null","null",2,7,"Top","null","null",,,572180,,"180528_190100","7.4221","-134.2720","-3.9932","-13.6296","28.7843","-16.2627","3.4642","1.5173","null","null","null","90.9130","2185","5.4410",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.0593","null","null","null","null","null","null","null",50,"2","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2018-05-28","92.7","-1.3865","6.1147","Trea Turner",607208,502171,"null","ball",,,,,"12","null","R","R","R","BAL","WSH","B","null","null",0,0,2018,"-0.9481","1.2876","0.7856","3.9301","572191.00","null","null",2,7,"Top","null","null",,,572180,,"180528_190043","7.3764","-134.6182","-2.4479","-12.6631","27.7281","-16.7928","3.3959","1.4590","null","null","null","91.0120","2282","5.2650",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.2350","null","null","null","null","null","null","null",50,"1","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2018-05-28","91.5","-1.5027","6.2568","Trea Turner",607208,502171,"field_out","hit_into_play",,,,,"5","Trea Turner lines out sharply to center fielder Adam Jones.  ","R","R","R","BAL","WSH","X",8,"line_drive",0,0,2018,"-0.9150","1.3009","0.1487","2.7160","null","null","null",0,5,"Top","140.78","62.62",,,572180,,"180528_182750","5.9552","-132.8821","-5.6795","-11.7374","26.6925","-16.2936","3.3477","1.4589","325","103.9","14.4880","90.1170","2124","5.4140",530213,502171,572180,641820,570731,502143,592518,502226,430945,572073,"55.0867","0.686","0.780","0.00",1,0,0,4,34,"1","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
